issue_id,nr_comment_in_issue
49913,3
49963,2
50073,4
51080,1
51199,1
51200,3
51201,1
51222,3
51225,4
51226,5
51227,1
51228,1
51229,4
51235,3
51243,4
51751,3
51752,2
51753,1
51754,3
51755,5
51763,2
51768,4
51836,3
51838,7
51857,5
51859,5
52030,1
52031,2
52033,4
52034,1
52222,1
52589,1
52590,1
52598,1
52599,1
52601,1
52621,6
52624,9
52635,6
52636,7
52676,3
52678,3
52684,1
52689,1
52699,1
52776,2
52777,1
52874,5
52878,4
52936,4
52937,6
52938,1
52999,1
53000,2
53005,2
53006,14
53138,9
53143,1
53145,1
53146,1
53152,1
53157,3
53159,2
53165,2
53167,13
53424,4
53425,2
53447,8
53448,6
53469,2
53474,3
53476,2
53477,2
53478,1
53500,1
53649,2
53968,1
54136,1
54139,1
54141,1
54143,1
54144,2
54145,2
54146,2
54147,1
54148,1
54149,1
54151,1
54153,1
54154,1
54155,1
54156,1
54157,1
54158,3
54159,1
54160,2
54161,2
54162,3
54163,2
54164,1
54165,1
54166,1
54167,1
54207,3
54208,1
54209,1
54210,1
54211,1
54212,1
54213,1
54397,1
54947,1
54949,1
54950,1
54951,1
55532,1
55533,1
55534,1
